name,salary_from,salary_to,salary_currency,area_name,published_at
QA (manual),,,,Москва,2022-12-15T10:00:40+0300
Junior Frontend Developer (Vue.js),40000.0,50000.0,RUR,Санкт-Петербург,2022-12-15T11:32:25+0300
Программист-стажер,,,,Москва,2022-12-15T11:45:01+0300
Администратор телеграм-канала,30000.0,50000.0,RUR,Москва,2022-12-15T10:40:50+0300
Сервисный инженер (наладчик),,,,Минск,2022-12-15T09:27:37+0300
Программист Python,,,,Волгоград,2022-12-15T11:56:32+0300
Трейдер (фьючерсы MOEX),30000.0,,RUR,Москва,2022-12-15T09:17:35+0300
Аналитик,150000.0,180000.0,RUR,Москва,2022-12-15T11:42:00+0300
Frontend Developer,500.0,3000.0,USD,Ташкент,2022-12-15T10:32:46+0300
Разработчик .net Middle/Senior,,,,Челябинск,2022-12-15T07:40:53+0300
Начинающий IT специалист,50000.0,,RUR,Кострома,2022-12-15T09:12:44+0300
Project manager/Customer success manager,,,,Санкт-Петербург,2022-12-15T10:09:23+0300
Flutter разработчик (junior),200000.0,300000.0,KZT,Алматы,2022-12-15T08:39:33+0300
Реквизитор бутафор / крафтер,40000.0,,RUR,Казань,2022-12-15T09:46:38+0300
"Руководитель проектов (в сфере обучения, развития HR бренда, коммуникаций)",,,,Москва,2022-12-15T09:35:12+0300
Программист C# (junior),40000.0,,RUR,Краснодар,2022-12-15T10:33:54+0300
Ученик Токаря / фрезеровщика,,,,Москва,2022-12-15T10:33:08+0300
Программист 1С,,,,Москва,2022-12-15T11:31:12+0300
Фронтенд-разработчик,90000.0,,RUR,Кемерово,2022-12-15T05:12:41+0300
Frontend разработчик / Верстальщик,80000.0,130000.0,RUR,Москва,2022-12-15T03:09:13+0300
Механик по транспорту АТ и ДСТ,130000.0,140000.0,RUR,Санкт-Петербург,2022-12-15T08:14:53+0300
Оператор станков с ЧПУ,80000.0,,RUR,Ростов-на-Дону,2022-12-15T10:10:54+0300
Бизнес-аналитик,,,,Тбилиси,2022-12-15T01:16:05+0300
Разработчик React.js,,,,Брянск,2022-12-15T11:40:12+0300
Инженер технической поддержки,50000.0,60000.0,RUR,Томск,2022-12-15T11:37:04+0300
Java-разработчик,80000.0,,RUR,Пермь,2022-12-15T10:44:35+0300
"Инженер-наладчик, инженер по наладке и испытаниям (Бангладеш, Турция)",130000.0,200000.0,RUR,Удомля,2022-12-15T09:32:17+0300
Инженер-программист станков с ЧПУ,80000.0,,RUR,Нижний Новгород,2022-12-15T08:57:59+0300
Системный администратор,60000.0,100000.0,RUR,Долгопрудный,2022-12-15T03:12:06+0300
Менеджер,26000.0,32000.0,RUR,Киров (Кировская область),2022-12-15T10:36:45+0300
Junior project-manager / Младший менеджер интернет-проектов,60000.0,,RUR,Москва,2022-12-15T11:01:49+0300
Младший аналитик,,,,Алматы,2022-12-15T09:53:39+0300
Senior Системный аналитик,,,,Москва,2022-12-15T10:15:41+0300
Автор-аналитик (удалённо),65000.0,85000.0,RUR,Москва,2022-12-15T10:29:09+0300
Дизайнер,80460.0,,RUR,Москва,2022-12-15T09:50:39+0300
Дизайнер интерьеров,,,,Москва,2022-12-15T11:01:31+0300
Оператор-наладчик станков с ЧПУ,,85000.0,RUR,Калуга,2022-12-15T11:28:22+0300
Аналитик,,,,Москва,2022-12-15T11:50:29+0300
React JS developer,,,,Москва,2022-12-15T11:30:49+0300
Управляющий интернет-магазином,70000.0,150000.0,RUR,Москва,2022-12-15T11:25:46+0300
Менеджер проектов/IT Project Manager,100000.0,,RUR,Барнаул,2022-12-15T05:12:38+0300
Тестировщик/QA-инженер,,,,Москва,2022-12-15T10:53:30+0300
Senior/Middle Frontend-разработчик,180000.0,280000.0,RUR,Тверь,2022-12-15T05:58:06+0300
Дизайнер-печатник в полиграфию,170000.0,350000.0,KZT,Астана,2022-12-15T10:18:51+0300
Frontend developer,,,,Казань,2022-12-15T02:48:49+0300
Механик по транспорту,72000.0,90000.0,RUR,Краснодар,2022-12-15T10:31:01+0300
Мастер смены СТО (МКЦ),80000.0,90000.0,RUR,Санкт-Петербург,2022-12-15T10:13:01+0300
Графический дизайнер в агентство маркетинга и франчайзинга (удаленно),40000.0,50000.0,RUR,Краснодар,2022-12-15T11:35:31+0300
Специалист по IT,69000.0,75000.0,RUR,Сочи,2022-12-15T10:22:11+0300
Специалист 2-ой линии технической поддержки,,,,Москва,2022-12-15T10:30:20+0300
Junior+ Web-дизайнер,,,,Москва,2022-12-15T11:51:44+0300
"Менеджер IT, EdTech",100000.0,,RUR,Москва,2022-12-15T03:24:20+0300
Junior Data Scientist/Младший менеджер по обработке данных,,,,Москва,2022-12-15T10:14:19+0300
Администратор баз данных,,,,Казань,2022-12-15T08:41:05+0300
Системный администратор,30000.0,40000.0,RUR,Оренбург,2022-12-15T08:47:14+0300
Заместитель начальника участка буровзрывных работ на ОГР,270000.0,,RUR,Екатеринбург,2022-12-15T08:56:27+0300
Специалист по контенту,,,,Санкт-Петербург,2022-12-15T10:29:46+0300
Токарь,60000.0,,RUR,Красноярск,2022-12-15T05:05:41+0300
Бизнес-аналитик,100000.0,,RUR,Барнаул,2022-12-15T05:15:30+0300
3D-Визуализатор,,80000.0,RUR,Новосибирск,2022-12-15T10:34:05+0300
Графический дизайнер,30000.0,60000.0,RUR,Жуковский,2022-12-15T08:57:27+0300
QA Engineer (Mobile),,,,Тбилиси,2022-12-15T10:29:56+0300
Специалист вечерней техподдержки (удаленно),20000.0,23000.0,RUR,Санкт-Петербург,2022-12-15T10:49:36+0300
Администратор проектов,70000.0,90000.0,RUR,Москва,2022-12-15T10:56:43+0300
"Оператор производственной линии ( с опытом работы на профилегибочной линии), оператор станка с ЧПУ",60000.0,100000.0,RUR,Новосибирск,2022-12-15T11:42:39+0300
Копирайтер / Редактор / Оператор обработки текста и ввода данных (удаленно),,80000.0,RUR,Санкт-Петербург,2022-12-15T09:06:50+0300
Руководитель проектов,,,,Москва,2022-12-15T10:51:25+0300
Оператор станков с ЧПУ,80000.0,120000.0,RUR,Самара,2022-12-15T08:57:47+0300
Инженер-тестировщик,,,,Москва,2022-12-15T08:52:34+0300
JAVA backend (работа на территории РФ),220000.0,,RUR,Москва,2022-12-15T10:56:29+0300
Java-разработчик,,,,Москва,2022-12-15T11:12:55+0300
Product owner (Проект Технологическая платформа),,,,Москва,2022-12-15T09:10:03+0300
Системотехник,60000.0,,RUR,Омск,2022-12-15T11:56:29+0300
Product analyst,,,,Пермь,2022-12-15T11:27:45+0300
Менеджер по продажам сельхозтехники и спецтехники,100000.0,600000.0,RUR,Уфа,2022-12-15T07:29:21+0300
Помощник машиниста экструдера,58000.0,,RUR,Екатеринбург,2022-12-15T08:22:13+0300
Middle/ Senior Frontend-разработчик (Angular/Vue/React),,,,Воронеж,2022-12-15T11:30:06+0300
Бизнес-аналитик в IT,,,,Алматы,2022-12-15T11:54:49+0300
Токарь на станок с ЧПУ,40000.0,,RUR,Ижевск,2022-12-15T09:47:10+0300
Ведущий инженер по ИТ (дочернее общество ПАО «НК «Роснефть»),67000.0,,RUR,Екатеринбург,2022-12-15T07:34:57+0300
Дизайнер,150000.0,300000.0,KZT,Алматы,2022-12-15T07:13:51+0300
"Тестировщик, ITSM продукт",,,,Москва,2022-12-15T09:08:46+0300
Специалист по информационной безопасности,45000.0,,RUR,Барнаул,2022-12-15T05:35:14+0300
Печатник,,,,Пермь,2022-12-15T09:10:21+0300
Токарь,60000.0,70000.0,RUR,Воронеж,2022-12-15T11:25:44+0300
NodeJS разработчик,180000.0,250000.0,RUR,Москва,2022-12-15T11:53:18+0300
Консультант-аналитик 1С (удаленно),80000.0,120000.0,RUR,Орел,2022-12-15T11:15:22+0300
Руководитель проектов,75000.0,,RUR,Зеленоград,2022-12-15T09:27:23+0300
"Сервисный инженер, Поволжье",45000.0,,RUR,Саратов,2022-12-15T10:34:29+0300
Веб-разработчик (back-end),,,,Тула,2022-12-15T09:58:52+0300
Стажер/PHP-программист,20000.0,,RUR,Санкт-Петербург,2022-12-15T10:44:40+0300
Инженер по обслуживанию домофонов,45000.0,,RUR,Набережные Челны,2022-12-15T09:57:33+0300
Менеджер проектов,600000.0,600000.0,KZT,Алматы,2022-12-15T07:08:25+0300
IT специалист / Системный администратор / Техник,20000.0,35000.0,RUR,Омск,2022-12-15T10:01:47+0300
Инженер электромеханического ремонта,70000.0,120000.0,RUR,Новосибирск,2022-12-15T07:26:45+0300
NodeJS разработчик,180000.0,250000.0,RUR,Санкт-Петербург,2022-12-15T11:53:18+0300
Бизнес-аналитик (разработка АБС для индийского филиала Банка),,,,Москва,2022-12-15T11:06:09+0300
Шлифовальщик по дереву,45000.0,60000.0,RUR,Красногорск,2022-12-15T00:29:56+0300
